"Sort","Notes","No.","Pollutant","source","alias","CAS.No.","Carcinogen","Human.Health.Criteria...................Water...Organism..ug.L.","Human.Health.Criteria..Organism.Only..ug.L.","Freshwater.Acute.Criteria..CMC..ug.L","Freshwater.Chronic.Criteria..CCC..ug.L","Freshwater.Fish.Acute.1","Freshwater.Fish.Chronic.2","Freshwater.Invertebrates.Acute.3","Freshwater.Invertebrates.Chronic.4","Freshwater.Nonvascular.Plants.Acute.5","Freshwater.Vascular.Plants.Acute.6","Office.of.Water.Aquatic.Life.Criteria.Maximum.Concentration..CMC.","Office.of.Water.Aquatic.Life.Criteria.Continuous.Concentration..CCC.","minimum.criteria.benchmark.value","index","OR.MCLs","X","Marine.Acute.Criteria..CMC..ug.L","Marine.Chronic.Criteria..CCC..ug.L","Acute.One.Day.HHBP..ppb.","Chronic..Lifetime.HHBP..ppb.","Fish.SV.175.g.d..ppb..","Fish.SV.17.5.g.d..ppb.","Fish.SV.32.g.d..ppb."
516,"0",NA,"Picloram acid","OPP","","6607","","","","","","2750","—","17200","—","36900","—","—","—","2750","5","",NA,"","","","","","",""
517,"0",NA,"Picloram potassium salt","OPP","","6607","","","","","","6500","550","34150","11800","—","—","—","—","550","6","",NA,"","","","","","",""
518,"0",NA,"Picloram TIPA salt","OPP","","6607","","","","","","187500","—","—","—","—","—","—","—","187500","5","",NA,"","","9900","2100","","",""
519,"0",NA,"Pinoxaden","OPP, EPA HHBP","","243973-20-8","","","","","","10000","—","—","—","1200","4300","—","—","1200","9","",NA,"","","","","","",""
520,"8",NA,"Pinoxaden (NOA 447204)","OPP","","- -","","","","","","> 60,000","—","> 60,000","—","95600","> 93,500","—","—","95600","9","",NA,"","","","","","",""
521,"8",NA,"Pinoxaden (NOA 497854)","OPP","","- -","","","","","","> 51,500","> 960","> 50,500","5800","> 100,000","10000","—","—","5800","8","",NA,"","","","","","",""
522,"0",NA,"Piperalin","OPP","","3478-94-2","","","","","","385","—","945","—","—","—","—","—","385","5","",NA,"","","63000","1085","","",""
523,"0",NA,"Piperonyl butoxide","OPP, EPA HHBP","","51-03-6","","","","","","950","40","225","30","—","—","—","—","30","8","",NA,"","","","","","",""
524,"0",NA,"Pirimicarb","OPP","","23103-98-2","","","","","","14500","—","9.5","—","—","—","—","—","9.5","7","",NA,"","","150","1","","",""
525,"0",NA,"Pirimiphos methyl","OPP, EPA HHBP","Pirimiphos-methyl","029232-93-7","","","","","","202","180","55","—","1200","—","—","—","55","7","",NA,"","","","","","",""
526,"0",NA,"Polybutene17","OPP","","9003-29-6","","","","","","—","—","—","—","—","—","—","—","0","13","",NA,"","","","","0.2","2","1.09375"
527,"",118,"Polychlorinated Biphenyls (PCBs)","Table 40, 20","","NA ","y","0.0000064","0.0000064","2","0.014","","","","","","","—","—","0.0000064","1","0.5",NA,"10","0.03","-","63","","",""
528,"",NA,"Potassium chlorate","EPA HHBP","","698078","","","","","","","","","","","","","","0","13","",NA,"","","5800","105","","",""
529,"",NA,"Potassium Mefluidide","EPA HHBP","","83601-83-6","","","","","","","","","","","","","","0","13","",NA,"","","500","350","","",""
530,"0",NA,"Prallethrin","OPP, EPA HHBP","","23031-36-9","","","","","","6","3","3.1","0.325","—","—","","","0.325","8","",NA,"","","-","1750","","",""
531,"",NA,"Primisulfuron-methyl","EPA HHBP","","86209-51-0","","","","","","","","","","","","—","—","0","13","",NA,"","","1155","-","","",""
532,"",NA,"Procymidone","EPA HHBP","","32809-16-8","","","","","","","","","","","","","","0","13","",NA,"","","50","0.4","","",""
533,"0",NA,"Profenofos","OPP, EPA HHBP","","41198-08-7","","","","","","7.05","2","0.465","0.2","—","—","","","0.2","8","",NA,"","","-","1400","","",""
534,"",NA,"Prohexadione calcium","EPA HHBP","","127277-53-6","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
535,"10",NA,"Prometon","OPP","","1610-18-0","","","","","","6000","9500","12850","3500","98","624","","","98","9","",NA,"","","3960","280","","",""
536,"0",NA,"Prometryn","OPP, EPA HHBP","","7287-19-6","","","","","","1450","620","9295","1000","1","11.8","—","—","1","9","",NA,"","","","","","",""
537,"0",NA,"Propachlor","OPP","","1918-16-7","","","","","","85","—","395","—","13.5","—","—","—","13.5","9","",NA,"","","20000","840","","",""
538,"",NA,"Propamocarb hydrochloride","EPA HHBP","","25606-41-1","","","","","","","","","","","","—","—","0","13","",NA,"","","-","63","","",""
539,"0",NA,"Propanil","OPP, EPA HHBP","","709-98-8","","","","","","1150","9.1","600","86","16","110","","","9.1","6","",NA,"","","2640","280","","",""
540,"0",NA,"Propargite","OPP, EPA HHBP","","2312-35-8","","","","","","59","16","37","9","66.2","75000","—","—","9","8","",NA,"","","","","","",""
541,"0",NA,"Propazine","OPP","","139-40-2","","","","","","—","720","> 2,660","47","24.8","100","—","—","24.8","9","",NA,"","","5","4","","",""
542,"0",NA,"Propetamphos","OPP, EPA HHBP","","31218-83-4","","","","","","94","—","1.65","—","—","—","—","—","1.65","7","",NA,"","","3000","700","","",""
543,"0",NA,"Propiconazole","OPP, EPA HHBP","","60207-90-1","","","","","","425","95","650","260","21","4828","—","—","21","9","",NA,"","","","","","",""
544,"0",NA,"Propionic acid","OPP","","79-09-4","","","","","","25500","—","11350","—","—","—","—","—","11350","7","",NA,"","","","","","",""
545,"0",NA,"Propoxur","OPP","","114-26-1","","","","","","1850","—","5.5","—","—","—","—","—","5.5","7","",NA,"","","-","5236","","",""
546,"",NA,"Propoxycarbazone sodium","EPA HHBP","","181274-15-7","","","","","","","","","","","","—","—","0","13","",NA,"","","6930","7","","",""
547,"",NA,"Propylene oxide","EPA HHBP","","75-56-9","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
548,"8,9",NA,"Propyzamide","OPP","pronamide","23950-58-5","","","","","","36000","7700","> 2,800","600","> 4,000","1180","","","600","8","",NA,"","","1000","371","","",""
549,"",NA,"Prosulfuron","EPA HHBP","","94125-34-5","","","","","","","","","","","","—","—","0","13","",NA,"","","660","70","","",""
550,"",NA,"Prothioconazole","EPA HHBP","","178928-70-6","","","","","","","","","","","","","","0","13","",NA,"","","80","56","","",""
551,"",NA,"Pymetrozine","EPA HHBP","","123312-89-0","","","","","","","","","","","","","","0","13","",NA,"","","1650","238","","",""
552,"0",NA,"Pyraclostrobin","OPP, EPA HHBP","","175013-18-0","","","","","","3.1","2.35","7.85","4","1.5","1720","","","1.5","9","",NA,"","","-","1400","","",""
553,"",NA,"Pyraflufen ethyl","EPA HHBP","","129630-19-9","","","","","","","","","","","","—","—","0","13","",NA,"","","380","70","","",""
554,"0",NA,"Pyrasulfotole","OPP, EPA HHBP","","365400-11-9","","","","","","> 48,000","580","> 47,900","12800","8300","28","","","28","10","",NA,"","","-","1260","","",""
555,"",NA,"Pyrazon","EPA HHBP","","1698-60-8","","","","","","","","","","","","—","—","0","13","",NA,"--","--","","","12000","120000","65625"
556,"",119,"Pyrene","Table 40, 20","","129000","n","290","400","--","--","","","","","","","","","290","1","",NA,"","","700","308","","",""
557,"0",NA,"Pyrethrin","OPP, EPA HHBP","Pyrethrins","8003-34-7","","","","","","2.55","1.9","5.8","0.86","—","—","","","0.86","8","",NA,"","","440","35","","",""
558,"0",NA,"Pyridaben","OPP, EPA HHBP","","96489-71-3","","","","","","0.36","0.087","0.265","0.044","> 665","> 16.2","0","0","0.044","8","",NA,"","","-","238","","",""
559,"0",NA,"Pyridalyl","OPP, EPA HHBP","","179101-81-6","","","","","","250","49","2.1","4.4","—","—","—","—","2.1","7","",NA,"","","2000","770","","",""
560,"",NA,"Pyridate","EPA HHBP","","55512-33-9","","","","","","","","","","","","0","0","0","13","",NA,"","","10000","1190","","",""
561,"0",NA,"Pyrimethanil","OPP, EPA HHBP","","53112-28-0","","","","","","5050","20","1500","1000","1800","7800","","","20","6","",NA,"","","-","2450","","",""
562,"0",NA,"Pyriproxyfen","OPP, EPA HHBP","","95737-68-1","","","","","","> 163","4.3","200","0.015","56","> 180","—","—","0.015","8","",NA,"","","-","7000","","",""
563,"0",NA,"Pyroxsulam","OPP, EPA HHBP","","422556-08-9","","","","","","> 43,500","10100","> 49,500","10400","111","2.57","—","—","2.57","10","",NA,"","","66000","2660","","",""
564,"0",NA,"Quinclorac","OPP, EPA HHBP","Quinchlorac","84087-01-4","","","","","","15800","16000","14900","110000","> 500","> 500","—","—","14900","7","",NA,"","","-","1400","","",""
565,"",NA,"Quinoxyfen","EPA HHBP","","124495-18-7","","","","","","","","","","","","—","—","0","13","",NA,"","","-","63","","",""
566,"",NA,"Quizalofop-P ethyl","EPA HHBP","","100646-51-3","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
567,"0",NA,"Quizalofop-p-ethyl","OPP","","76578-14-8","","","","","","230","11","1060","—","> 1,770","> 82.8","","","11","6","",NA,"","","-","245","","",""
568,"0",NA,"Resmethrin","OPP, EPA HHBP","","10453-86-8","","","","","","0.14","0.32","1.55","—","—","—","—","—","0.14","5","",NA,"","","-","5726","","",""
569,"",NA,"Rimsulfuron","OPP, EPA HHBP","Rimsulfuran","122931-48-0","","","","","","> 195,000","—","> 180,000","—","> 29","11.6","—","—","11.6","10","",NA,"","","495","3","","",""
570,"10",NA,"Rotenone","OPP, EPA HHBP","","83-79-4","","","","","","0.97","1.01","1.85","1.25","—","—","—","—","0.97","5","",NA,"","","50000","322","","",""
571,"",NA,"Saflufenacil","EPA HHBP","","-","","","","","","","","","","","","—","—","0","13","",NA,"","","","","2000","20000","10937.5"
572,"",120,"Selenium, Total recoverable","Table 40","","7782492","n","120","420","","","","","","","","","","","35","4","50",NA,"","","18000","980","","",""
573,"0",NA,"Sethoxydim","OPP, EPA HHBP","","74051-80-2","","","","","","85000","—","39050","—","—","> 281","","","39050","7","",NA,"","","-","1050","","",""
574,"0",NA,"Siduron","OPP, EPA HHBP","","1982-49-6","","","","","","4050","15","6850","6","212","212","—","—","6","8","",NA,"","","","","","",""
575,"",121,"Silver, Dissolved","Table 30","","7440224","","","","hardness","0.1","","","","","","","—","—","0.12","4","",NA,"1.9","","","","","",""
576,"",NA,"Simazine","Table 40, 20, OPP","","","","","","","","3200","960","500","2000","36","140","","","36","9","4",NA,"","","","","","",""
577,"0",NA,"S-Metolachlor","OPP","","51218-45-2 / 87392-12-9","","","","","","1600","30","1900","4900","8","21","—","—","8","9","",NA,"","","","","","",""
578,"0",NA,"Sodium acifluorfen","OPP","","62476-59-9","","","","","","8500","0.57","14050","—","> 355,000","378000","—","—","0.57","6","",NA,"","","-","210","","",""
579,"",NA,"Sodium Chlorate","EPA HHBP","","2146053","","","","","","> 500,000","—","460000","500000","133000","43000","—","—","43000","10","",NA,"","","-","210","","",""
580,"0",NA,"Sodium chlorate","OPP","","89-97-4","","","","","","> 500,000","—","460000","500000","133000","43000","—","—","43000","10","",NA,"","","","","","",""
581,"0",NA,"Sodium cyanide","OPP","","143-33-9","","","","","","94","—","—","—","—","—","—","—","94","5","",NA,"","","-","3500","","",""
582,"",NA,"Sodium Dodecylbenzene Sulfonate","EPA HHBP","","25155-30-0","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
583,"0",NA,"Sodium fluoroacetate","OPP","","62-74-8","","","","","","27000","—","175000","—","—","—","","","27000","5","",NA,"","","","","","",""
584,"0",NA,"Sodium Tetrathiocarbonate","OPP","","7345-69-9","","","","","","3350","—","3300","—","17000","—","—","—","3300","7","",NA,"","","-","174","","",""
585,"",NA,"Spinetoram","EPA HHBP","","187166-40-1, 187166-15-0","","","","","","","","","","","","—","—","0","13","",NA,"","","-","174","","",""
586,"0",NA,"Spinosad","OPP, EPA HHBP","","131929-60-7","","","","","","2970","498","7000","0.6","90","10600","","","0.6","8","",NA,"","","-","98","","",""
587,"",NA,"Spirodiclofen","EPA HHBP","","148477-71-8","","","","","","","","","","","","—","—","0","13","",NA,"","","-","154","","",""
588,"",NA,"Spiromesifen","EPA HHBP","","283594-90-1","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
589,"0",NA,"Spirotetramat","OPP","","20313-25-5","","","","","","705","534","330","100","4050","4490","","","100","8","",NA,"","","1000","175","","",""
590,"",NA,"Spiroxamine","EPA HHBP","","118134-30-8","","","","","","","","","","","","—","—","0","13","",NA,"","","-","350","","",""
591,"",NA,"Streptomycin","EPA HHBP","","57-92-1","","","","","","","","","","","","","","0","13","",NA,"","","-","350","","",""
592,"",NA,"Streptomycin Sesquisulfate","EPA HHBP","","3810-74-0","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
593,"",NA,"Styrene","Table 40, 20","","","","","","","","","","","","","","","","0","13","100",NA,"","","4620","700","","",""
594,"0",NA,"Sulfentrazone","OPP, EPA HHBP","","122836-35-5","","","","","","46900","2950","30200","200","1.8","28.8","","","1.8","9","",NA,"--","","","","","",""
595,"",122,"Sulfide Hydrogen Sulfide","Table 40, 20","","7783064","","--","--","--","2","","","","","","","—","—","2","4","",NA,"","2","2750","1925","","",""
596,"0",NA,"Sulfometuron methyl","OPP, EPA HHBP","Sulfometuron-Methyl","74222-97-2","","","","","","> 74,000","—","> 75,000","97000","4.6","0.48","","","0.48","10","",NA,"","","10000","1750","","",""
597,"",NA,"Sulfosate (Glyphosate-trimesium)","EPA HHBP","","81591-81-3","","","","","","","","","","","","—","—","0","13","",NA,"","","-","1680","","",""
598,"8",NA,"Sulfosulfuron","OPP, EPA HHBP","","141776-32-1","","","","","","> 45,000","100000","> 48,000","102000","400","1","","","1","10","",NA,"","","-","560","","",""
599,"",NA,"Sulfuryl fluoride","EPA HHBP","","2699-79-8","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
600,"0",NA,"Sumithrin","OPP","","26002-80-2","","","","","","7.9","1.1","2.2","0.47","—","—","","","0.47","8","",NA,"","","50","35","","",""
601,"0",NA,"Tau-Fluvalinate","OPP, EPA HHBP","","102851-06-9","","","","","","0.175","—","0.47","0.1","—","—","—","—","0.1","8","",NA,"","","2500","70","","",""
602,"",NA,"TCMTB (Busan 72)","EPA HHBP","","21564-17-0","","","","","","","","","","","","—","—","0","13","",NA,"","","290","203","","",""
603,"0",NA,"Tebuconazole","OPP, EPA HHBP","","107534-96-3","","","","","","1135","12","1440","120","1450","151.5","","","12","6","",NA,"","","-","126","","",""
604,"0",NA,"Tebufenozide","OPP, EPA HHBP","","112410-23-8","","","","","","1500","< 48","1900","4.3","> 740","—","—","—","4.3","8","",NA,"","","2","0.1","","",""
605,"0",NA,"Tebupirimphos","OPP, EPA HHBP","Phostebupirim (Tebupirimphos)","96182-53-5","","","","","","44.5","130","0.039","0.011","630","8800","—","—","0.011","8","",NA,"","","","","","",""
606,"0",NA,"Tebuthiuron","OPP","","34014-18-1","","","","","","53000","9300","148500","21800","50","135","—","—","50","9","",NA,"","","","","","",""
607,"0",NA,"Telone","OPP","","542-75-6","","","","","","540","—","45","70","7900","20000","—","—","45","7","",NA,"","","8","3","","",""
608,"",NA,"Tembotrione","EPA HHBP","","335104-84-2","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
609,"0",NA,"Temephos","OPP","","3383-96-8","","","","","","1745","—","5","—","—","—","","","5","7","",NA,"","","5000","350","","",""
610,"",NA,"Tepraloxydim","EPA HHBP","","149979-41-9","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
611,"0",NA,"Terbacil","OPP","","5902-51-2","","","","","","23100","1200","32500","640","11","140","","","11","9","",NA,"","","","","","",""
612,"10",NA,"Terbufos","OPP","","13071-79-9","","","","","","0.385","0.64","0.1","0.03","—","—","—","—","0.03","8","",NA,"","","","","","",""
613,"0",NA,"Terbuthylazine","OPP","","5915-41-3","","","","","","1700","—","25450","—","—","—","—","—","1700","5","",NA,"","","4950","112","","",""
614,"",NA,"Terrazole","EPA HHBP","","2593-15-9","","","","","","","","","","","","—","—","0","13","",NA,"--","--","","","120","1200","656.25"
615,"",123,"Tetrachlorobenzene, 1,2,4,5-","Table 40, 20","","95943","n","0.11","0.11","--","--","","","","","","","","","0.11","1","",NA,"--","--","","","2","20","10.9375"
616,"",124,"Tetrachloroethane 1,1,2,2","Table 40, 20","","79345","y","0.12","0.4","--","--","","","","","","","","","0.12","1","",NA,"--","--","","","10.05631537","100.5631537","54.99547466"
617,"",125,"Tetrachloroethylene","Table 40, 20","","127184","y","0.24","0.33","--","--","","","","","","","","","0.24","1","5",NA,"","","","","","",""
618,"0",NA,"Tetrachlorovinphos","OPP","","22248-79-9","","","","","","265","—","0.95","—","510","—","","","0.95","7","",NA,"","","670","296","","",""
619,"",NA,"Tetrachlorvinphos","EPA HHBP","","961-11-5","","","","","","","","","","","","—","—","0","13","",NA,"","","5000","51","","",""
620,"",NA,"Tetraconazole","EPA HHBP","","112281-77-3","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
621,"0",NA,"Tetramethrin","OPP","","7696-12-0","","","","","","1.85","—","22.5","—","—","—","","","1.85","5","",NA,"","","","","","",""
622,"0",NA,"TFM (3-Trifluoromethyl-4-nitrophenol)","OPP","","88-30-2","","","","","","300","—","1900","—","1200","—","—","—","300","5","",NA,"--","--","","","27.2","272","148.75"
623,"",126,"Thallium, Total recoverable","Table 40, 20","","7440280","n","0.043","0.047","--","--","","","","","","","—","—","0.043","1","2",NA,"","","-","231","","",""
624,"",NA,"Thiabendazole","EPA HHBP","","148-79-8","","","","","","","","","","","","","","0","13","",NA,"","","100","28","","",""
625,"",NA,"Thiacloprid","EPA HHBP","","111988-49-9","","","","","","","","","","","","","","0","13","",NA,"","","3500","84","","",""
626,"0",NA,"Thiamethoxam","OPP, EPA HHBP","","153719-23-4","","","","","","> 50,000","20000","17.5","—","> 97,000","> 90,000","","","17.5","7","",NA,"","","-","275","","",""
627,"",NA,"Thidiazuron","EPA HHBP","","51707-55-2","","","","","","","","","","","","—","—","0","13","",NA,"","","-","8190","","",""
628,"0",NA,"Thiencarbazone-methyl","OPP, EPA HHBP","","317815-83-1","","","","","","> 52,000","4800","> 47,000","3540","298","0.8","","","0.8","10","",NA,"","","52470","301","","",""
629,"",NA,"Thifensulfuron methyl","EPA HHBP","","79277-27-1","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
630,"0",NA,"Thiobencarb","OPP","","28249-77-6","","","","","","280","—","50","1","17","770","","","1","8","",NA,"","","330","210","","",""
631,"0",NA,"Thiodicarb","OPP, EPA HHBP","","59669-26-0","","","","","","605","25","2.7","9","> 8,300","—","—","—","2.7","7","",NA,"","","6600","187","","",""
632,"0",NA,"Thiophanate methyl","OPP, EPA HHBP","Thiophanate-methyl","23564-05-8","","","","","","4150","2","2700","3","930","> 4,700","—","—","2","6","",NA,"","","462","105","","",""
633,"10",NA,"Thiram","OPP, EPA HHBP","","137-26-8","","","","","","21","530","105","170.6","140","1600","—","—","21","5","",NA,"--","--","","","80000","800000","437500"
634,"",127,"Toluene","Table 40, 20","","108883","n","720","1500","--","--","","","","","","","—","—","720","1","1000",NA,"","","1700","182","","",""
635,"",NA,"Tolyfluanid","EPA HHBP","","731-27-1","","","","","","","","","","","","","","0","13","",NA,"","","165","28","","",""
636,"",NA,"Topramezone","EPA HHBP","","210631-68-8","","","","","","","","","","","","","","0","13","",NA,"","","","","0.363636364","3.636363636","1.988636364"
637,"",128,"Toxaphene","Table 40, 20","","8001352","y","0.000028","0.000028","0.73","0.0002","","","","","","","","","0.000028","1","3",NA,"0.21","0.0002","9900","35","","",""
638,"8",NA,"Tralkoxydim","OPP, EPA HHBP","","87820-88-0","","","","","","> 3,750","—","> 87,000","2100","7700","2600","","","2100","8","",NA,"","","","","","",""
639,"0",NA,"Tralomethrin","OPP","","66841-25-6","","","","","","0.8","0.088","0.0195","0.0044","—","—","—","—","0.0044","8","",NA,"","","340","238","","",""
640,"",NA,"Triadimefon","EPA HHBP","","43121-43-3","","","","","","","","","","","","","","0","13","",NA,"","","34","24","","",""
641,"",NA,"Triadimenol","EPA HHBP","","55219-65-3","","","","","","","","","","","","","","0","13","",NA,"","","1650","175","","",""
642,"0",NA,"Triallate","OPP, EPA HHBP","","2303-17-5","","","","","","600","38","45.5","13","120","2400","—","—","13","8","",NA,"","","-","70","","",""
643,"8,10",NA,"Triasulfuron","OPP, EPA HHBP","","82097-50-5","","","","","","> 50,000","68600","> 50,000","105000","—","—","—","—","68600","6","",NA,"","","300","35","","",""
644,"",NA,"Triazole Acetic Acid","EPA HHBP","","28711-29-7","","","","","","","","","","","","","","0","13","",NA,"","","300","35","","",""
645,"",NA,"Triazole alanine","EPA HHBP","","114419-45-3","","","","","","","","","","","","","","0","13","",NA,"","","-","56","","",""
646,"",NA,"Tribenuron methyl","EPA HHBP","","101200-48-0","","","","","","","","","","","","","","0","13","",NA,"","","100","7","","",""
647,"0",NA,"Tribufos","OPP, EPA HHBP","","78-48-8","","","","","","122.5","3.5","3.4","1.56","148","1100","—","—","1.56","8","",NA,"","","1000","14","","",""
648,"0",NA,"Trichlorfon","OPP, EPA HHBP","","52-68-6","","","","","","79","110","2.65","0.0057","—","—","—","—","0.0057","8","70",NA,"--","--","","","4000","40000","21875"
649,"",129,"Trichlorobenzene 1,2,4","Table 40, 20","","120821","n","6.4","7","--","--","","","","","","","","","6.4","1","200",NA,"","","","","","",""
650,"",NA,"Trichloroethane 1,1,1","Table 40, 20","","","","","","","","","","","","","","","","0","13","5",NA,"--","--","","","7.01754386","70.1754386","38.37719298"
651,"",130,"Trichloroethane 1,1,2","Table 40, 20","","79005","y","0.44","1.6","--","--","","","","","","","","","0.44","1","5",NA,"--","--","","","31.74603175","317.4603175","173.6111111"
652,"",131,"Trichloroethylene","Table 40, 20","","79016","y","1.4","3","--","--","","","","","","","","","1.4","1","",NA,"--","--","","","36.36363636","363.6363636","198.8636364"
653,"",132,"Trichlorophenol 2,4,6","Table 40, 20","","88062","y","0.23","0.24","--","--","","","","","","","","","0.23","1","",NA,"--","--","","","40000","400000","218750"
654,"",133,"Trichlorophenol, 2, 4, 5-","Table 40, 20","","95954","n","330","360","--","--","","","","","","","","","330","1","",NA,"","","1650","350","","",""
655,"14",NA,"Triclopyr","OPP, EPA HHBP","","55335-06-3","","","","","","180","104000","850","80700","100","880","—","—","100","9","",NA,"","","","","","",""
656,"0",NA,"Triclopyr acid","OPP","","55335-06-3","","","","","","58500","—","66450","—","29800","—","—","—","29800","9","",NA,"","","","","","",""
657,"0",NA,"Triclopyr butoxyethyl ester (BEE)","OPP","","64700-56-7","","","","","","130","19","125","—","70","860","—","—","19","6","",NA,"","","","","","",""
658,"0",NA,"Triclopyr degradate (TCP)","OPP","","55335-06-3","","","","","","950","—","6700","—","2300","—","—","—","950","5","",NA,"","","","","","",""
659,"0",NA,"Triclopyr triethylamine (TEA)","OPP","","55335-06-3","","","","","","39600","> 32,200","173000","25000","4100","6100","—","—","4100","9","",NA,"","","3000","2100","","",""
660,"",NA,"Triclosan","EPA HHBP","","3380-34-5","","","","","","","","","","","","","","0","13","",NA,"","","660","70","","",""
661,"",NA,"Tridemorph","EPA HHBP","","24602-86-6","","","","","","","","","","","","","","0","13","",NA,"","","82500","266","","",""
662,"0",NA,"Trifloxystrobin","OPP, EPA HHBP","","141517-21-7","","","","","","7","4.3","12.5","2.8","37","> 1,930","—","—","2.8","8","",NA,"","","16500","1659","","",""
663,"",NA,"Trifloxysulfuron Sodium","EPA HHBP","","290332-10-4","","","","","","","","","","","","","","0","13","",NA,"","","2500","245","","",""
664,"0",NA,"Triflumizole","OPP, EPA HHBP","","686994-11-1","","","","","","290","33","700","67","140","720","—","—","33","6","",NA,"","","","","","",""
665,"0",NA,"Trifluralin","OPP","","1582-09-8","","","","","","20.5","1.14","280","2.4","7.52","43.5","—","—","1.14","6","",NA,"","","-","168","","",""
666,"",NA,"Triflusulfuron-methyl","EPA HHBP","","126535-15-7","","","","","","","","","","","","","","0","13","",NA,"","","19800","2240","","",""
667,"",NA,"Trinexapac-Ethyl","EPA HHBP","","95266-40-3","","","","","","","","","","","","","","0","13","",NA,"","","99","2","","",""
668,"",NA,"Triphenyltin hydroxide (TPTH)","EPA HHBP","","76-87-9","","","","","","","","","","","","","","0","13","",NA,"","","16500","1190","","",""
669,"",NA,"Triticonazole","EPA HHBP","","131983-72-7","","","","","","","","","","","","","","0","13","",NA,"","","1650","140","","",""
670,"",NA,"Uniconazole-P","EPA HHBP","","83657-17-4","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
671,"0",NA,"Urea sulfate","OPP","","21351-39-3","","","","","","40000","—","—","—","11500","—","—","—","11500","9","",NA,"","","1980","84","","",""
672,"0",NA,"Vinclozolin","OPP, EPA HHBP","","50471-44-8","","","","","","1420","60","2000","790","< 1,060","> 900","—","—","60","6","2",NA,"--","--","","","0.285714286","2.857142857","1.5625"
673,"",134,"Vinyl Chloride","Table 40, 20","","75014","y","0.023","0.24","--","--","","","","","","","","","0.023","1","10000",NA,"","","","","","",""
674,"",NA,"Xylenes (total)","Table 40, 20","","","","","","","","","","","","","","","","0","13","",NA,"","","1000","420","","",""
675,"0",NA,"Zeta-cypermethrin","OPP, EPA HHBP","","52315-07-8","","","","","","0.195","0.14","0.0018","0.00059","—","—","—","—","0.00059","8","",NA,"","","","","120000","1200000","656250"
676,"",135,"Zinc, Dissolved","Table 30","","7440666","n","","","hardness","hardness","","","","","","","","","110","4","",NA,"90","81","-","0.7","","",""
677,"17",NA,"Zinc Phosphide","OPP, EPA HHBP","","1314-84-7","","","","","","—","—","—","—","—","—","—","—","0","13","",NA,"","","500","112","","",""
678,"10",NA,"Ziram","OPP, EPA HHBP","","137-30-4","","","","","","9.7","101","24","39","67","370","—","—","9.7","5","",NA,"","","-","3360","","",""
679,"0",NA,"Zoxamide","OPP, EPA HHBP","","156052-68-5","","","","","","78","3.48","> 390","39","10","19","—","—","3.48","6","",NA,"","","","","","",""
680,"",NA,"Zinc, Total recoverable","Table 40","","","","2100","2600","","","","","","","","","","","","","",NA,"","","","","","",""
681,"",NA,"Selenium, Dissolved","Table 30","","","","","","calculation","4.6","","","","","","","","","","","",NA,"290","71","","","","",""
682,"",NA,"Nickel, Dissolved","Table 30","","","","","","hardness","hardness","","","","","","","","","","","",NA,"74","8.2","","","","",""
683,"",NA,"Cadmium, Dissolved","Table 30","","","","","","","hardness","","","","","","","","","","","",NA,"40","8.8","","","","",""
684,"",NA,"Copper, Dissolved","Table 30","","","","","","","","","","","","","","","","","","",NA,"4.8","3.1","","","","",""
685,"",NA,"Tributyltin","","","688733","","","","0.46","0.063","","","","","","","","","","","",NA,"0.37","0.01","","","","",""
686,"",NA,"Total DDT","","","","","","","1.1","0.001","","","","","","","","","","","",NA,"0.13","0.001","","","","",""
153,"",41,"Chromium (Hex)","Table 40, 20","Chromium (Hex)","18540299","","--","--","16","11","","","","","","","","","11","4","",NA,"1100","50","","","","",""
